# Dead-ends catalogue — single source of truth (2026-08-18 reconstruction from EM/Meta/DeadEnds.lean and the session logs).
# num<TAB>cat<TAB>name<TAB>approach<TAB>rationale<TAB>session<TAB>witness<TAB>revival<TAB>status
# cat: OS orbit-specificity | DG decorrelation gap | AG aggregate gap | CO collapse | CI circularity | SF structurally false
#      TM technique mismatch | SM scale mismatch | MR methodological rule | -- number never assigned
# witness: a genuine (non-placeholder) Lean theorem, or —.  revival: weak-MC revival score 0–3, or -.
# Regenerate outputs with: python3 tools/gen_dead_ends.py
# Session numbers (S1–S307) refer to the project's session logs (agents/state/strategy_log*.md);
# the full text of sessions 1–274 is kept locally and is not part of the public repository.
11	SM	BlockDecorrelation for high-order characters	Block-averaged decorrelation of multiplier character values as intermediate toward PED/CCSB	Works for low-order characters but fails for order $d \sim q-1$: block bound does not scale with the character order	11	—	-	probable — reconstructed by counting; still valid
12	CI	PairDecorrelation is circular	Control all lag-$h$ shift correlations of the walk (PairDecorrelation) and apply van der Corput	$h=1$ correlation is just the multiplier sum (\code{walk\_shift\_one\_correlation}); $h \ge 2$ requires PairDecorrelation, which is equivalent to walk equidistribution / DH itself — circular	11	—	-	attested (S15 ``dead end \#12''); superseded by HOD hierarchy \#76--79, \#81
13	TM	Additive combinatorics for EM residues	Sumset / additive-energy tools on multiplier residues to reach PED	No additive structure in EM residues; sums not products — wrong structure; Bogolyubov--Ruzsa etc. reduce to the ordering problem	11	—	-	probable — reconstructed by counting; still valid
14	CI	Expander graphs for PED	Expander mixing on a Cayley-type graph of the multipliers	Circular: PED is needed as input to get expansion; $(\mathbb{Z}/q)^\times$ abelian, quasirandomness 1, Bourgain--Gamburd inapplicable	11	—	-	probable — reconstructed by counting; descendants \#82, \#95
15	TM	Cross-prime coupling via minimality	Use minimality ($\mathrm{seq}(n+1)$ = smallest prime factor) to couple PED failure at one modulus with walks at others, aiming for CRT contradiction	CRT independence: PED failure at $q_0$ does not constrain residues at $q_1$; minimality constrains size not residue class; multi-modulus sieve gives density-zero not finite exceptional set; all primes $\equiv 1$ mod $q$ is not self-contradictory	13	—	-	attested (cited S62); descendants \#31--35, \#98, \#123; still valid
16	CI	Selberg sieve on EM products	Apply Mathlib \code{SelbergSieve}/\code{BoundingSieve} to bound the minFac distribution of $\mathrm{prod}(n)+1$	Density approximation $\mathrm{multSum}(d) \approx \nu(d)\cdot\mathrm{mass} + \mathrm{rem}(d)$ needs $\#\{n : d \mid \mathrm{prod}(n)+1\}$, i.e. walk equidistribution mod $d$ — the very thing to be proved. Population use later itself false (\#160)	13	—	-	probable — reconstructed by counting; still valid
17	TM	Kernel-run position shift	Structural NoLongRuns route: during a kernel run the walk stays in one coset; hope revisits force a contradiction	Within a run the walk visits at most $(q-1)/d$ positions of one coset and revisits give no contradiction: products of subgroup elements stay in the subgroup	13	—	-	probable — reconstructed by counting; still valid
18	OS	Target-diversity heuristic (SieveTransfer)	Heuristic ``each step stays in $\ker\chi$ with probability $1/d$'' to bound kernel-run lengths	Heuristic only: needs an Alladi-type theorem for the specific EM products; reduces to proving $\mathrm{prod}(n)+1$ generic w.r.t. small factors = SieveTransfer. Superseded: GenericLPFEquidist false, SieveTransfer vacuous (\#160)	13	—	-	probable — reconstructed by counting; strengthened by \#160
19	CO	BRE intermediate equals CCSB	Factor PED $\Rightarrow$ CCSB through BlockRotationEstimate (BRE)	BRE for $\chi$ of order $d$ is equivalent to CCSB for $\chi,\chi^2,\dots,\chi^{d-1}$ (time-equidistribution among $d$-th roots of unity), so BRE is CCSB, not a simplification	14	—	-	probable — reconstructed by counting; the S14 BRE counterexamples became \#36/\#37
20	SF	Decorrelation does not imply CCSB	Prove ComplexCharSumBound directly from multiplier decorrelation (step character sums $o(N)$)	Counterexample: increments equidistributed in $\mathbb{Z}/3$ (bunched by type) but walk stalls; alternating steps in $\mathbb{Z}/4$ generate yet the walk misses 2. Step cancellation is not walk cancellation	15	alternating_walk_misses_two	1	still valid; registry row (``generation $\neq$ coverage''); reconfirmed as \#58, \#117, \#130
21	CI	Weyl-criterion shortcut for partial products	Use the Weyl criterion on $\mathbb{Z}/d$ for the walk $P_n = \omega^{s_n}$ to bypass CCSB	Needs $s_n$ equidistributed mod $d$; van der Corput / ergodic tools reduce to PairDecorrelation or stronger; the finite Weyl criterion (later proved) is CCSB itself	15	—	-	probable — reconstructed by counting; collision: catalogs use \#21 for DPED (log \#45)
22	TM	Order-2 cancellation insufficient for MC	BRE/CCSB restricted to order-2 characters (provable from NoLongRuns by alternating-series bound; later QuadraticCharacterLargeSieve, $d=2$ Legendre)	Order-2 cancellation only separates QR from QNR; hitting $-1$ needs all non-trivial characters in the Fourier inversion, so a proper character subgroup cannot isolate the target	15	—	-	attested (cited S53, S65); descendants \#80, \#88; still valid
23	TM	Furstenberg theorem for circle rotations	Furstenberg / random-product theorems on the circle for walk equidistribution	Lyapunov exponent of unimodular scalar products is 0, so Furstenberg-type expansion gives nothing; steps are deterministic and correlated	15	—	-	probable — reconstructed by counting; broadened into \#48, \#74, \#86
24	TM	CCSB for bounded-order characters	Prove CCSB only for characters of bounded order and hope it suffices	Not sufficient: hit-count Fourier inversion needs every non-trivial character; low-order cancellation cannot isolate $-1$	15	—	-	probable — reconstructed by counting; near-alias of \#22
25	--	unassigned	—	—	-	—	-	no record in any source
26	TM	PED plus self-avoidance (residue vs prime)	Combine positive escape density with the walk's self-avoidance (distinct primes) to force CCSB / a StructuredBRE	Self-avoidance constrains primes, not residue classes: $p_1 \ne p_2$, $p_1 \equiv p_2$ give identical $\chi$-values, and Dirichlet supplies infinitely many primes per class, so any character-value sequence is compatible with self-avoidance	16	dirichlet_residues_independent	-	still valid; witness records the mechanism (Dirichlet per class)
27	TM	StructuredBRE with self-avoidance	A BlockRotationEstimate taking self-avoidance plus PED as hypotheses	Prime-to-character map is many-to-one; injectivity in the domain says nothing about the image; no version incorporating self-avoidance helps	16	—	-	still valid; alias of \#26
28	SM	Abel summation for walk sums	Summation by parts to convert multiplier decorrelation into walk-sum bounds	Linear weights amplify contributions: yields $O(N^2)$ not $o(N)$, strictly worse than trivial	16	—	-	still valid; near-alias of \#38; reconfirmed \#103
29	TM	Counting/dispersion from self-avoidance	Count self-avoiding continuations keeping the walk clumped and argue dispersion	Same obstruction: Dirichlet provides unlimited primes in every residue class, so counting fresh primes never forces dispersion	16	—	-	still valid; alias of \#26
30	OS	Information-theoretic argument for BRE	Kolmogorov-complexity / counting arguments for the BRE gap	BRE failure has ensemble probability $(s/d)^N$ but EM is one deterministic sequence (zero entropy); ensemble-to-specific gap; restates decorrelation without content	16	—	-	still valid; general form \#86/\#89; information agent disabled S68
31	TM	Large sieve for partial products	Apply additive/multiplicative large sieve to the walk character sum	Large sieve handles linear sums; the EM sum is a sum of partial products, a structure no large-sieve inequality bounds. Later: \code{ArithLSImpliesMMCSB} circular (\#61), PrimeArithLS mismatch (\#75)	17	—	-	still valid; large sieve formalized as infrastructure only
32	OS	Bombieri--Vinogradov for EM subsequence	Use BV (average over moduli) for the multiplier primes	BV applies to all primes in APs, not to the greedy EM subsequence; also Mathlib-blocked (\#55--57); EM bridge \code{BVImpliesMMCSB} open, MultCSB $\not\Rightarrow$ MMCSB (\#58)	17	—	-	still valid
33	SM	CRT product-group reformulation	Run the walk on $\prod_{q \le Q} (\mathbb{Z}/q)^\times$ simultaneously	Makes the problem harder: the product group is exponentially large; no gain over single modulus. Later \#101 (profinite adds nothing)	17	—	-	still valid
34	TM	Death-set coupling across moduli	Couple death sets $\{m : \mathrm{minFac}(m) \equiv -c^{-1}\}$ at different moduli to force a hit	Death sets vary per step and reset (non-cumulative); no uniform coupling bound exists across moduli	17	—	-	attested (cited S62); still valid
35	CO	BV plus threshold	Prove CCSB/DH for all but finitely many $q$ by averaging over moduli, finish with ThresholdHitting	All multi-modular variants collapse to single-modulus CCSB; BV exceptional set is density-zero, not finite; the EM-specific transfer is SieveTransfer	17	—	-	still valid
36	SF	PED to BRE fails for $d\ge3$	Prove BlockRotationEstimate (PED $\Rightarrow$ CCSB) from positive escape density	Counterexample on $\mathbb{Z}/3$: block values $1,\omega,1,\omega,\dots$ with lengths $M,1,M,1,\dots$; escape density $2/(M+1) > 0$ but walk sum $\approx N$. Escape density fixes frequency, not distribution among $d-1$ rotations	18	—	-	still valid; reconfirmed \#87
37	SF	NoLongRuns plus PED implies BRE fails	Add NoLongRuns($L$) to PED to control block lengths	Variable block lengths still align adversarially with character phases for $d \ge 3$; Abel gives total variation $\le 2N$, bound $O(N)$ = trivial. Order-2 case provable (\code{bre\_order2\_from\_noLongRuns})	18	—	-	still valid; descendant \#80
38	SM	Dec to CCSB via Abel/VdC $h=1$	Convert multiplier decorrelation to a walk-sum bound by Abel summation or van der Corput with the single shift $h=1$	Product-to-sum conversion fails; VdC with $H=1$ gives $|S_N|^2 \le N^2/2 + o(N^2)$, i.e. $|S_N| \le N/\sqrt2$, a constant fraction not $o(N)$; $h \ge 2$ needs HOD	18	—	-	still valid; reconfirmed \#73, \#77
39	TM	Linnik's theorem for MC	Use Linnik (small least prime / least QNR in APs)	Constrains prime existence, not EM factorizations; trivially $4$ is a QR mod $p \ge 5$ so QNR $\le 4$ — proved but irrelevant to walk dynamics	19	—	-	still valid
40	TM	Qualitative Dirichlet implies NoLongRuns	Derive NoLongRuns($L$) from Dirichlet's theorem alone	Needs density (equal divergence of $\sum 1/p$ per class), not mere infinitude; NoLongRuns requires SieveTransfer. Superseded: sieve-route endpoint GenericLPFEquidist false, SieveTransfer vacuous (\#160)	19	—	-	still valid; strengthened by \#160
41	TM	Elementary route avoiding PNT	Reach NoLongRuns without any quantitative prime-distribution input	Impossible: NoLongRuns inherently requires quantitative prime distribution; qualitative Dirichlet gives infinitely many primes per class, not proportions; SubgroupEscape does not help kernel runs. \#160 later voided the population endpoint	19	—	-	still valid; mis-cited as ``\#41-47'' in S65
42	SF	Cumulative SieveEquidist implies NoLongRuns	Prove \code{SieveEquidistImpliesNoLongRuns} from cumulative-density \code{SieveEquidistribution}	Cumulative density on $[0,N)$ does not exclude a late run of $L$ kernel steps at $n \gg L$; fixed by window version \code{StrongSieveEquidist} (\code{strongSieveEquidist\_noLongRunsAt} proved). \#160 later voided the sieve-route endpoint	20	—	-	still valid; combinatorial-list alias ``\#10''
43	TM	DWH to sieve-route connection	Connect combinatorial DWH (arbitrary Euclid-constrained walks) to the sieve infrastructure	DWH is about general walks / subset products, sieve route is EM-specific (minFac); independent paths; consecutive-vs-arbitrary barrier (\#4) prevents connection	20	—	-	still valid; combinatorial-list alias ``\#11''; DWH later archived
44	TM	Walk telescoping for DWH	Use §37 telescoping identities to help the general DWH	Telescoping identities are EM-specific and only confirm PED alone does not give BRE for $d \ge 3$; nothing transfers to general DWH	20	—	-	still valid; combinatorial-list alias ``\#12''
45	SF	DPED to CCSB fails for $d\ge3$	Distributional PED (every non-identity $\chi$-value with positive frequency) as PED $\Rightarrow$ CCSB intermediate	Counterexample: rotations alternate $\omega,\omega^2$ (DPED holds), cumulative products cycle $\omega,1$, walk sum $(N/2)(1+\omega)$ of norm $N/2 = \Theta(N)$; DPED controls pointwise not sequential correlations; PED $<$ DPED $<$ RI $\approx$ CCSB	21	—	-	still valid; collision: catalogs cite as \#21; combinatorial-list alias ``\#13''; reconfirmed \#87
46	SF	Escape-value distribution intermediates below CCSB	Any hypothesis on the pointwise distribution of escape values $\chi(m(n))$ (PED, DPED, balanced escapes) as a bridge PED $\to$ CCSB for order $d\ge 3$.	Sequential correlations matter, not pointwise statistics: rotations alternating $\omega,\omega^2$ have perfect pointwise balance yet cumulative products cycle $1,\omega$, giving walk sum $(N/2)(1+\omega)=\Theta(N)$. Only controlling cumulative products works, which is CCSB itself.	21	—	-	still valid; refined by \#87 at escape-sum level
47	TM	Diaconis--Shahshahani UBL for deterministic walk	Apply the Diaconis--Shahshahani upper-bound lemma / non-abelian mixing to bound $\|P^{*k}-U\|$ for the multiplicative walk on $(\mathbb Z/q)^\times$.	UBL bounds convolutions of probability measures with i.i.d.\ steps; the EM walk is one deterministic path with history-dependent steps. Also $(\mathbb Z/q)^\times$ is abelian, so the non-abelian machinery adds nothing.	22	—	-	still valid; catalogs now file it under \#86/\#95
48	TM	Furstenberg systems of multiplicative functions	Apply Furstenberg-system / Frantzikinakis--Host machinery to $n\mapsto\chi(\minFac(P(n)+1))$.	The framework needs a multiplicative function defined on all of $\mathbb Z$; the EM multiplier sequence is recursively defined and not multiplicative, so no Furstenberg system exists for it.	22	—	-	still valid; collision: S50 and algebraic catalog T3.3 use \#48 for the orthogonality tautology (really \#52 Q4)
49	TM	Non-abelian amplification / representation theory	Pascadi-style non-abelian amplification and higher-dimensional representations to strengthen character-sum cancellation.	$(\mathbb Z/q)^\times$ is cyclic: all irreducible representations are one-dimensional characters, quasirandomness is $1$ (worst case), so there is no $SL_2$-type structure to exploit.	22	—	-	still valid; recurs in \#82 and Bourgain--Gamburd assessments
50	TM	CRT simultaneous equidistribution across moduli	Kowalski et al.\ style joint equidistribution over many moduli via CRT to obtain multi-modular control of the walk.	Requires independence across moduli; the single integer $\minFac(P(n)+1)$ drives every residue walk simultaneously, so the EM walk couples all moduli and the CRT-independence hypothesis fails.	22	—	-	still valid; refined by \#98, \#101, \#123
51	TM	Polynomially-defined multiplicative function theory	Singha Roy (2024) equidistribution results for multiplicative $f$ with $f(p)=F(p)$ polynomial, applied to the least prime factor.	$\minFac$ is not multiplicative ($\minFac(210)\ne\minFac(6)\minFac(35)$), and those results only reach moduli up to $(\log x)^K$; wrong function class.	22	—	-	still valid; see \#109 for the Hal\'asz analogue
52	CI	Five direct CCSB approaches via product structure	Q1 integer divisibility $m\mid P(n)+1$ at character level; Q2 profinite walk with minimality coupling; Q3 Hooley sieve for $\minFac$; Q4 entropy/variance; Q5 prime density.	Q1: divisibility invisible to characters. Q2: reduces to SieveTransfer/CME. Q3, Q5: reach only PED, insufficient for $d\ge3$. Q4: walk equidistribution is CCSB by orthogonality (circular). All single-modulus routes reach PED at best.	22	—	-	still valid; Q2's SieveTransfer target vacuous after \#160 (read as CME)
53	TM	LSD method for recursive minFac sequences	Landau--Selberg--Delange mean-value method via Dirichlet series / $L$-functions applied to the recursive $\minFac$ sequence.	LSD handles multiplicative functions through Dirichlet series; the recursive $\minFac(P(n)+1)$ sequence is neither multiplicative nor an $L$-function coefficient sequence, so no analytic continuation input exists.	22	—	-	still valid; sharpened by \#154 (scale mismatch on $O(\log x)$-term orbit)
54	CI	BV decomposition obstacles, CrossPrime, direct LoD	Decompose \code{BVImpliesMMCSB} into sequence-vs-population, $L^2$-vs-pointwise, counting-vs-walk obstacles; propose CrossPrimeAmplification via minimality and a direct EM level of distribution.	BVImpliesMMCSB faces the same generic-to-EM gap as SieveTransfer; CrossPrimeAmplification has no published technique; a direct LoD proof is equivalent to SieveTransfer, and \code{EMHasLevelOfDistribution} as stated has an exponentially large bound (later \#96).	25	—	-	probable — number never written; inferred from S25 'dead ends added' note
55	TM	PNT in APs formalization blocked	Formalize quantitative PNT in arithmetic progressions (\code{IK.DirichletPNT}) as input to SieveEquidistribution / BV routes.	Zero-free region $\sigma\ge 1-c/\log(q|t|)$ absent from the entire Lean 4 ecosystem; needs $\sim$5000+ lines including Hadamard factorization for $L$-functions. Even if available it is a population statement (\#90).	27	—	-	still valid quantitatively; qualitative Dirichlet now in Mathlib (S76, S298 catalog fix)
56	TM	Siegel--Walfisz formalization blocked	Formalize Siegel--Walfisz (\code{IK.SiegelWalfisz}) for uniform error terms in APs.	Same blocker as \#55 (zero-free region and Siegel's theorem absent from Lean 4); and it yields SieveEquidistribution (population), never orbit-level SieveTransfer.	27	—	-	still valid
57	TM	Direct Bombieri--Vinogradov formalization	Prove Bombieri--Vinogradov in Lean to feed the chain BV $\to$ MMCSB $\to$ MC.	Estimated 5000--10000 lines (multi-year, Vaughan identity and large sieve absent), and even a formal BV leaves the generic-to-EM transfer \code{BVImpliesMMCSB} (SieveTransfer) unsolved.	27	—	-	still valid; collision: scout (S~86) and algebraic catalog T4.4 label Booker--Simon maxFac variant \#57
58	DG	MultCSB does not imply MMCSB	Prove the abstract step \code{MultCSBImpliesMMCSB}: $o(N)$ multiplier character sums imply $o(N)$ walk character sums, splitting the BV route.	False: multipliers $(-1,-1,+1,+1)$ repeating give $S_M=O(1)$ but walk sum $N/2$; $(\omega,\omega^2,1)$ gives $\Theta(N)$. Order of multipliers matters for products, not sums; PED, NoLongRuns, DPED, Abel summation do not repair it.	28	OrbitBarrier.mult_cancel_not_walk_cancel	0	witnessed via \#117's counterexample; strengthened by \#117, \#20/\#130
59	TM	Davenport-constant zero-sum subset products	Use $D(\mathbb Z/(q-1))=q-1$ (any $q-1$ elements contain a zero-sum subsequence) to force products of EM multipliers to reach $-1$.	DynamicalHitting needs PREFIX (consecutive) products reaching $-1$, not existence of some zero-sum subsequence; same ordering obstruction as \#4. Only marginal information, DH needs joint (position, multiplier) data.	37	—	-	probable — number never written; catalog-only attribution (T2.3/T1.8); superseded by \#140
60	TM	Kneser sumset growth for prefix products	Kneser's theorem $|A+B|\ge|A|+|B|-|H|$ to force growth of the reachable product set of the walk.	Gives weaker bounds than direct arguments and faces the same ordering obstruction (\#4) and generation-vs-coverage (\#130); Kneser is not in Mathlib (LeanCamCombi only).	37	—	-	probable — number never written; catalog-only attribution (T2.4); its companion label \#137 means \#140
61	CI	ArithLS to MMCSB via occupation measure	Apply the arithmetic large sieve (or \code{gct\_full\_char\_sum\_bound}) with coefficients $a_n=\#\{k:\ w(k)=n\}$ to derive MultiModularCSB.	Circular: $\sum|a_n|^2$ is the $L^2$ norm of the visit distribution, large exactly when the walk is not equidistributed; dense coefficients give the trivial bound $N^2(p+1)$, worse than the triangle inequality.	35	—	-	still valid; prime-modulus twin is \#75
62	TM	Full ALS by refining WeakALS	Interpolate from the proved WeakALS constant $N(\delta^{-1}+1)$ to the optimal large-sieve constant $N-1+\delta^{-1}$.	WeakALS treats evaluation points independently; the optimal constant exploits interference (Selberg--Beurling majorants, duality + Hilbert). No smooth interpolation exists between the two arguments.	36	—	-	still valid; moot for MC (WeakALS suffices)
63	TM	KernelRowSumBound from geometric-sum tools	Prove the sharp kernel row-sum bound (Schur test input for optimal ALS) using only Jordan's inequality and geometric-sum bounds.	Insufficient: needs Selberg--Montgomery--Vaughan extremal functions ($\sim$300--500 lines, not in Mathlib); S60 notes sharp KRSB is harder than ALS itself. WeakALS already suffices downstream.	36	—	-	still valid; deliberately abandoned
64	--	unassigned	—	—	-	—	-	no record in any source
65	--	unassigned	—	—	-	—	-	no record in any source
66	--	unassigned	—	—	-	—	-	no record in any source
67	--	unassigned	—	—	-	—	-	no record in any source
68	--	unassigned	—	—	-	—	-	no record in any source
69	--	unassigned	—	—	-	—	-	no record in any source
70	--	unassigned	—	—	-	—	-	no record in any source
71	--	unassigned	—	—	-	—	-	no record in any source
72	--	unassigned	—	—	-	—	-	no record in any source
73	CO	SVE not provable from existing infrastructure	Prove SubquadraticVisitEnergy (excess energy $(p-1)\sum_a V_N(a)^2-N^2=o(N^2)$) from SE/TailSE, coprimality, PED, Dec+VdC or growth, then use \code{sve\_implies\_mmcsb}.	SE gives existence not density; coprimality invisible to the residue walk; PED constrains multipliers not walk phases; VdC at $h=1$ gives $\|S\|^2\le N^2/2$, a constant factor; growth is heuristic. Later proved SVE $\Leftrightarrow$ CCSB, so this collapses onto CCSB.	38	—	-	still valid; superseded by SVE $\Leftrightarrow$ CCSB (S40) and \#120
74	TM	Mathlib BirkhoffSum / Birkhoff ergodic theorem	Use \code{Mathlib.Dynamics.BirkhoffSum} time-average API for the walk's visit averages.	The API assumes an orbit under a single map $T$; the EM walk applies a different multiplier at each step (non-autonomous), so no single transformation, invariant measure or Birkhoff average applies.	38	—	-	still valid; see \#86, \#95, \#110
75	TM	PrimeArithLS to MMCSB structural mismatch	With PrimeArithLS proved, choose coefficients ($a(n)=1$ or walk-adapted $a(n)=\chi(w(n)n^{-1})$) to extract walk character-sum bounds.	PrimeArithLS sums over integer indices $\sum_{n\le N}a(n)\chi(n)$; MMCSB needs sums at walk positions $\sum\chi(w(n))$, and $w$ is many-to-one, not invertible in $(\mathbb Z/p)^\times$. Every coefficient choice returns the trivial $N$ bound.	39	—	-	still valid; closes large-sieve-to-walk family with \#61
76	SF	CCSB does not imply HOD	Hoped-for equivalence between walk-sum cancellation (CCSB) and $h$-fold multiplier autocorrelation decay (HigherOrderDecorrelation).	CCSB bounds $\sum\chi(w(n))$, HOD bounds $\sum\prod_{j<h}\chi(m(n+j))$; an equidistributed walk with anti-correlated consecutive increments satisfies CCSB and violates HOD at $h=2$. Hierarchy Dec $<$ HOD $\to$ CCSB $\Leftrightarrow$ SVE.	40	—	-	still valid; forward direction \code{hod\_implies\_ccsb} proved
77	SM	Dec plus VdC insufficient for CCSB	Van der Corput with only the $h=1$ autocorrelation, i.e.\ from DecorrelationHypothesis alone.	VdC at $H=1$ gives $\|S_{\mathrm{walk}}\|\le N/\sqrt2$, a constant fraction of the trivial bound, not $o(N)$; $o(N)$ needs autocorrelation control for all lags $h\le H$ with $H\to\infty$.	40	—	-	still valid; reconfirms \#38
78	TM	Partial HOD (even h=2) unprovable	Prove HigherOrderDecorrelation for small $h$ (say $h=2$) from known results on correlations of the least prime factor $P^-(n)$.	Requires the joint distribution of consecutive least prime factors $(P^-(n),P^-(n+h))$, an open problem; Tao--Ter\"av\"ainen, Pilatte, Charamaras--Richter cover additive or completely multiplicative functions only, and $P^-$ is neither.	40	—	-	still valid; k-point theme continued in \#84, \#123
79	CO	HOD is not a useful attack target	Target HigherOrderDecorrelation as the hypothesis to prove, using the proved chain HOD + VdC $\to$ CCSB $\to$ MC.	HOD is strictly stronger than CCSB (\#76) with the same consequence, so proving HOD is the wrong direction; the reduction only documents the hierarchy and offers no simplification.	40	—	-	still valid; used to kill FourPointPCV (\#123)
80	SM	Order-2 CCSB from PED plus NoLongRuns	For quadratic characters exploit the alternating kernel-block structure: PED gives linearly many escapes, NoLongRuns bounds block length $L$; hope the alternating block sum is $o(N)$.	$|S|\le(\text{number of pairs})\times L=O(N)$, not $o(N)$; adversarial block lengths $L_1=2,L_2=0,L_3=2,\dots$ give alternating sum $N$ with $\Omega(N)$ blocks. Alternation alone forces no cancellation below $O(N)$.	41	—	-	still valid; refined by \#88, \#111
81	DG	CME does not imply HOD ($h\ge2$)	Route CME $\to$ HOD $\to$ (VdC) $\to$ CCSB using ConditionalMultiplierEquidist (multiplier character sums cancel on each walk-position fiber).	CME gives Dec ($h=1$) by fiber decomposition, but $h$-fold products couple consecutive multipliers through $w(n+1)=w(n)m(n)$; conditioning on a single position does not control these correlations. Hierarchy PED $<$ Dec $<$ CME $\le$ CCSB.	43	—	0	still valid but moot: \code{cme\_implies\_ccsb} proved directly (S49); CME remains the open headline
82	CO	Cyclic Littlewood--Offord / Tiep--Vu adaptation	Re-develop Tiep--Vu anti-concentration for $(\mathbb Z/q)^\times\cong\mathbb Z/(q-1)$ with weakened independence; state a MultiplierAntiConcentration Prop.	Reduces entirely to Dec/HOD: for a cyclic group the mechanism is $E[\prod\chi(X_k)]=\prod E[\chi(X_k)]$, independence used only to factor; MultiplierAntiConcentration $=$ PED; anti-concentration bounds the endpoint law, not the walk sum. No result exists for dependent products.	46	—	-	still valid
